Feature,RF_Importance,F_Score
"('mfcc', 'median.1')",0.002772611781526394,3326.015887431934
"('mfcc', 'std')",0.002769982649196932,3686.8027433159846
"('mfcc', 'max.7')",0.002710191734252543,6846.622987791469
"('mfcc', 'std.16')",0.002701873874962163,2116.7868728449794
"('mfcc', 'mean.4')",0.0026949008514155375,2543.093739303668
"('mfcc', 'std.6')",0.0026626580565928194,2936.295227389769
"('mfcc', 'std.17')",0.0026597073426272537,2200.533446739788
"('mfcc', 'mean.19')",0.002656105020644054,2034.538841037432
"('zcr', 'kurtosis')",0.002649162640383107,537.1702645495217
"('chroma_cqt', 'std.6')",0.0026319186471937773,2671.3322380754335
"('spectral_centroid', 'skew')",0.0026059218495994995,2690.410320533162
"('mfcc', 'std.13')",0.002584006118871735,2029.785072426765
"('mfcc', 'min.2')",0.0025839434461926974,2765.633356214738
"('mfcc', 'max.1')",0.002567080764027494,1740.6075840650976
"('spectral_centroid', 'kurtosis')",0.002560905592175868,1000.5084230137102
"('chroma_stft', 'std.6')",0.002540120131104174,3498.881180106797
"('mfcc', 'min.3')",0.002537188762491283,3028.7238004500523
"('spectral_contrast', 'mean')",0.002536015291128731,2077.904586275034
"('mfcc', 'skew.4')",0.002528510922231031,1599.0560652047088
"('mfcc', 'skew.1')",0.002514471623239169,3203.340354186719
"('mfcc', 'std.10')",0.002513822718597664,1976.765177509385
"('mfcc', 'min.7')",0.002506390283719284,3003.978360810144
"('chroma_cqt', 'kurtosis')",0.0024793318936146194,14.388357538366924
"('mfcc', 'mean.1')",0.002468783322252298,3280.7077763260786
"('zcr', 'skew')",0.0024634204474639253,1239.7004623641383
"('mfcc', 'mean.14')",0.0024626851411506875,3066.283434818836
"('spectral_contrast', 'skew.5')",0.002441610383373911,1836.8922292347565
"('mfcc', 'skew.6')",0.0024155853210616946,2132.977572692645
"('chroma_cens', 'skew.6')",0.002409769716875301,4797.275393132639
"('spectral_bandwidth', 'skew')",0.0024023586519486963,3772.6017115120085
"('mfcc', 'mean.13')",0.002402350527946648,4774.702586560806
"('spectral_contrast', 'skew.1')",0.002389543744789116,2651.5067451847326
"('tonnetz', 'kurtosis.2')",0.0023838144318165146,2089.1737881191525
"('spectral_contrast', 'skew.4')",0.0023668851427800404,3252.952830724742
"('mfcc', 'std.15')",0.00236399028908282,2006.7691101859955
"('spectral_contrast', 'skew.6')",0.0023396533798700106,1197.1543068825256
"('mfcc', 'std.18')",0.0023300870886882497,2028.8407809878584
"('mfcc', 'mean.10')",0.002328211545811359,4203.221712954537
"('mfcc', 'std.12')",0.0023188533200564345,1902.0336116204182
"('spectral_contrast', 'kurtosis.2')",0.0023104594866213677,1957.189113593012
"('tonnetz', 'std.2')",0.0023082829687877606,4655.974494555076
"('mfcc', 'kurtosis')",0.002287234506911826,187.39882028908792
"('spectral_contrast', 'std.5')",0.0022821083428970447,1596.1913809152002
"('chroma_stft', 'skew')",0.0022778066260329796,2997.3115896491236
"('mfcc', 'kurtosis.18')",0.0022633161691692823,1109.0981057247789
"('mfcc', 'median.14')",0.0022456140211926283,3084.3986455007393
"('spectral_contrast', 'kurtosis.3')",0.002234869038663897,1633.0659337801092
"('mfcc', 'std.19')",0.0022230271830435367,1779.1480551096406
"('spectral_contrast', 'mean.5')",0.0022214059682736016,571.4637556423878
"('mfcc', 'kurtosis.1')",0.002209350753836929,1448.6501544737885
"('mfcc', 'median.11')",0.0021986290284659493,5257.429293450914
"('chroma_cens', 'max.6')",0.002185276945482433,4465.472713751045
"('mfcc', 'min.18')",0.0021689394554638202,2352.852403228373
"('spectral_contrast', 'median')",0.0021681501197283104,2084.0460225092957
"('mfcc', 'median.16')",0.0021677263657387973,824.0555361712709
"('spectral_contrast', 'max')",0.0021562399439458715,985.4950952973433
"('mfcc', 'std.14')",0.0021478736190295262,2043.639248470311
"('spectral_contrast', 'kurtosis.5')",0.0021407555953263887,908.9171917851666
"('spectral_contrast', 'kurtosis.1')",0.002137561889535512,1760.7763584433171
"('spectral_centroid', 'min')",0.002129084109845874,898.6366783220413
"('spectral_contrast', 'kurtosis')",0.0021070301078378777,1368.0616404442908
"('mfcc', 'mean.16')",0.0021062237300765595,756.4790672906715
"('mfcc', 'skew.19')",0.002096981781998118,1523.3171330235416
"('mfcc', 'std.9')",0.00208344029425228,2792.3886234021156
"('mfcc', 'min.1')",0.002067938252249265,3322.6329437859754
"('mfcc', 'max.14')",0.002061497605619134,2331.4121067954143
"('tonnetz', 'median.4')",0.0020587771830891896,1621.0392682200606
"('chroma_cqt', 'mean.6')",0.0020573458640966388,2890.966958123204
"('spectral_contrast', 'std.4')",0.0020260938542222555,2025.2657329524973
"('chroma_stft', 'skew.1')",0.0020250696087583207,3556.769478850274
